Kinker, G.S., Greenwald, A.C., Tal, R. et al. Pan-cancer single-cell RNA-seq identifies recurring programs of cellular heterogeneity. Nat Genet 52, 1208–1218 (2020). https://doi.org/10.1038/s41588-020-00726-6
Cell Cycle - G1/S	Cell Cycle - G2/M	Skin Pigmentation	EMT I	EMT II	IFN Response	EMT III	p53-Dependent Senescence 	Epithelial Senescence	Stress Response	Protein Maturation	Proteasomal Degradation
HIST1H4C	AURKA	PHACTR1	DKK1	MYL9	ISG20	LAMA3	CDKN1A	SLPI	DDIT3	HSPA5	PSMA3
CLSPN	CENPF	DCT	PMEPA1	SERPINE1	IFIT3	LAMB3	NEAT1	LCN2	SNHG12	RPN2	PSMC4
ATAD2	PLK1	MITF	C12orf75	THBS1	ISG15	LAMC2	POLD4	ELF3	SLC3A2	SLC3A2	PRDX1
E2F1	TOP2A	CHCHD6	CYR61	FN1	OASL	CDKN1A	MXD4	S100A9	PPP1R15A	PDIA3	PSMC2
HELLS	UBE2C	MBP	IL8	IL32	IFIT1	FAM83A	MMP24-AS1	S100P	GADD45B	LGALS3BP	EIF4A3
RRM2	ASPM	GDF15	SORBS2	LAMC2	IFIT2	ITGA2	PNRC1	SAA1	GADD45A	MCM7	MDH1
HIST2H2AC	TPX2	MLANA	THBS1	MYH9	IFI44	PLAU	HIST1H2BK	C15orf48	RSRC2	XRCC6	PSMA4
HIST1H1E	CENPA	TBC1D7	TPST1	TAGLN	PMAIP1	C15orf48	SLPI	SPRR1B	TXNIP	EPRS	ANXA1
FAM111A	CKAP2	TNFRSF14	CAV1	CLIC3	RARRES3	JUP	TP53TG1	AQP3	ATF3	VCP	MRPL13
GINS2	GTSE1	TRPM1	KRT7	COL5A1	ZC3HAV1	MAST4	IFI27L2	LY6D	TAF1D	COPB2	PGK1
CENPU	CCNB1	ASAH1	LIMA1	IGFBP3	HERC5	RHOD	IGBP1	ASS1	TRIB3	EIF4A3	DCAF13
CDCA5	ARL6IP1	CAPN3	LIMCH1	INHBA	SAMD9	SERPINB1	AHNAK2	CLDN4	ASNS	KPNA2	PSME2
ASF1B	MKI67	LINC00518	MAP1B	PMEPA1	WARS	SERPINE1	FDXR	FXYD3	EPB41L4A-AS1	OS9	PRMT1
CHAF1A	CENPE	BIRC7	MGLL	CDC42EP3	IGFBP6	AHNAK2	GPRC5A	KRT15	KLF10	PRKCSH	PSMB3
TCF19	CKS2	FXYD3	MXD4	CST6	SAMD9L	COL17A1	IFI27	S100A14	SNHG15	UBC	CCT8
HIST1H1D	HMMR	GPNMB	PRSS23	CYR61	CCL5	DMKN	ISG15	S100A8	PDRG1	ANXA1	SSBP1
KIAA0101	DEPDC1	GPR137B	RRAS	GLIPR1	IFI6	ELK3	KRT19	SERPINB1	CARS	APP	CCNB1
FEN1	NUSAP1	LGALS3	S100A16	TPM1	APOL2	F3	S100P	AGR2	SNAPC1	CYR61	CDC123
HIST1H1B	PRC1	MXI1	TPM1	VIM	HES4	G0S2	TP53I3	CXCL1	CCNL1	HSPA1A	DPM1
PCNA	SGOL2	NOV	CCND1	AKAP12	IFIH1	IL32		KRT13	SQSTM1	HSPA8	NDUFS2
FBXO5	CCNA2	PMEL	CTGF	AXL	IRF1	INHBA		KRT16	TSC22D1	LAPTM4A	PDHA1
HIST1H1C	KPNA2	TBC1D16	DDIT4	EDN1	PARP14	LRRC8A		ADIRF	DDIT4	NDUFS2	LAPTM4A
CDCA4	CDCA8	WIPI1	FN1	FLNA	PSMB9	NDRG1		C9orf169	XBP1	PGK1	PSMB1
MYBL2	HMGB2	GYPC	FOSL1	FST	ZNFX1	NEAT1		CD9	HERPUD1	APLP2	PCMT1
PKMYT1	NUF2	ISG20	HOXB2	FSTL1	HLA-B	S100A14		CTSD	IER2	ATP6AP2	PSMB6
FAM111B	KNSTRN	PLP1	IER3	IGFBP7	IL7R	SLPI		GSN	NFKBIA	CTSL	NDUFA9
USP1	CDCA3	APOE	KRT81	PRSS23	APOL6	TSPAN1		MMP7	RAE1	GRN	POLR2G
CDC6	CEP55	AVPI1	NT5E	PTPRF	B4GALT5	CDA		NEAT1	JUN	LAMB3	CCT5
EZH2	KIF20B	C11orf96	PLAUR		DDX58	CDH1		PI3	RELB	LAMP1	RTCB
PSMC3IP	FAM83D	DAB2	PPFIBP1		DDX60	CDH3		PSCA	BTG1	MAGED2	HSPA5
GMNN	PIF1	FAM210B	PTRF		FAM46A	CST6		RARRES3	IRF1	NASP	DDX39A
HMGB2	CDC20	GJB1	RND3		JUNB	DHRS9		SAA2	ZNF622	POLR2B	MCTS1
ORC6	DLGAP5	GPR56	S100A4		KLF4	EPCAM		SAMD9	HIST1H2AC	SDHA	SNRPB2
TYMS	KIF2C	HES6	SMURF2		PLAUR	FN1		SAT1	OSER1	SON	XRCC6
DNAJC9	PRR11	NBL1	TGFBI		RSAD2	FXYD3		SNCG	SERTAD1		PSMD13
CDK1	ARHGAP11A	RAB27A	TNFRSF12A		SAR1A	HBEGF		TACSTD2	SNHG8		EIF3I
UBE2T	KIF23	RAB38	TSC22D1		SDC4	KLK10		TNFAIP2			SSB
SLBP	AURKB	RAB5B	AC093673.5		SQRDL	LCN2		WFDC2			NUP37
BRCA1	CDK1	RRAGD	ACTG2		ZFP36L2	LSR					ILF2
C21orf58	KIF14	S100B	CAV2		APOL1	POLD4					EIF4A1
